TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, AC_IRMS_MIN
1549002422.86, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 
1549002423.44, 277.34, 5.89, 1619.0, 1619.0, -9.0, 0.99999, 2400.0, 277.425, 6.04, 1624.0, 1624.0, 9.0, -0.99999, 2400.0, 277.24, 5.82, 1608.0, 1608.0, -6.0, 0.99999, 2400.0, 455.01, 0.227, 103.0, 
1549002424.02, 277.297, 5.9, 1620.0, 1620.0, 0.0, -1.0, 59.999, 277.332, 6.04, 1622.0, 1622.0, 0.0, -1.0, 60.0, 277.216, 5.82, 1608.0, 1608.0, -0.0, -1.0, 60.0, 455.01, 0.23, 105.0, 
1549002424.51, 277.297, 5.9, 1620.0, 1620.0, 0.0, -1.0, 59.999, 277.332, 6.04, 1622.0, 1622.0, 0.0, -1.0, 60.0, 277.216, 5.82, 1608.0, 1608.0, -0.0, -1.0, 60.0, 455.01, 0.23, 105.0, 
1549002425.02, 277.325, 5.89, 1618.0, 1618.0, -4.0, 1.0, 60.0, 277.415, 6.02, 1620.0, 1620.0, 4.0, -1.0, 60.0, 277.298, 5.81, 1607.0, 1607.0, -6.0, 0.99999, 60.0, 455.02, 0.23, 104.0, 
1549002425.52, 277.325, 5.89, 1618.0, 1618.0, -4.0, 1.0, 60.0, 277.415, 6.02, 1620.0, 1620.0, 4.0, -1.0, 60.0, 277.298, 5.81, 1607.0, 1607.0, -6.0, 0.99999, 60.0, 455.02, 0.23, 104.0, 
1549002426.02, 277.299, 5.9, 1619.0, 1619.0, -7.0, 0.99999, 59.999, 277.452, 6.03, 1622.0, 1622.0, 6.0, -0.99999, 60.001, 277.282, 5.82, 1609.0, 1609.0, -7.0, 0.99999, 60.0, 450.53, 0.228, 103.0, 
1549002426.52, 277.299, 5.9, 1619.0, 1619.0, -7.0, 0.99999, 59.999, 277.452, 6.03, 1622.0, 1622.0, 6.0, -0.99999, 60.001, 277.282, 5.82, 1609.0, 1609.0, -7.0, 0.99999, 60.0, 450.53, 0.228, 103.0, 
1549002427.02, 277.358, 5.88, 1614.0, 1614.0, -6.0, 0.99999, 60.0, 277.35, 6.01, 1616.0, 1616.0, 6.0, -0.99999, 60.0, 277.243, 5.81, 1605.0, 1605.0, -6.0, 0.99999, 59.999, 448.57, 0.23, 103.0, 
1549002427.52, 277.358, 5.88, 1614.0, 1614.0, -6.0, 0.99999, 60.0, 277.35, 6.01, 1616.0, 1616.0, 6.0, -0.99999, 60.0, 277.243, 5.81, 1605.0, 1605.0, -6.0, 0.99999, 59.999, 448.57, 0.23, 103.0, 
1549002427.6, 277.358, 5.88, 1614.0, 1614.0, -6.0, 0.99999, 60.0, 277.35, 6.01, 1616.0, 1616.0, 6.0, -0.99999, 60.0, 277.243, 5.81, 1605.0, 1605.0, -6.0, 0.99999, 59.999, 448.57, 0.23, 103.0, 4.7
1549002428.02, 277.301, 5.89, 1618.0, 1618.0, -6.0, 0.99999, 59.999, 277.444, 6.01, 1618.0, 1618.0, 4.0, -1.0, 60.0, 277.301, 5.81, 1608.0, 1608.0, -8.0, 0.99999, 60.001, 453.1, 0.23, 104.0, 4.7
1549002428.52, 277.301, 5.89, 1618.0, 1618.0, -6.0, 0.99999, 59.999, 277.444, 6.01, 1618.0, 1618.0, 4.0, -1.0, 60.0, 277.301, 5.81, 1608.0, 1608.0, -8.0, 0.99999, 60.001, 453.1, 0.23, 104.0, 4.7
1549002429.02, 277.357, 5.9, 1619.0, 1619.0, -11.0, 0.99998, 60.0, 277.436, 6.03, 1621.0, 1621.0, 5.0, -1.0, 60.001, 277.264, 5.82, 1610.0, 1610.0, -7.0, 0.99999, 60.0, 455.07, 0.23, 105.0, 4.7
1549002429.52, 277.357, 5.9, 1619.0, 1619.0, -11.0, 0.99998, 60.0, 277.436, 6.03, 1621.0, 1621.0, 5.0, -1.0, 60.001, 277.264, 5.82, 1610.0, 1610.0, -7.0, 0.99999, 60.0, 455.07, 0.23, 105.0, 4.7
1549002430.02, 277.33, 5.91, 1622.0, 1622.0, -9.0, 0.99998, 60.0, 277.364, 6.03, 1623.0, 1623.0, 6.0, -0.99999, 60.0, 277.231, 5.82, 1610.0, 1610.0, -6.0, 0.99999, 60.0, 455.09, 0.232, 106.0, 4.7
1549002430.52, 277.33, 5.91, 1622.0, 1622.0, -9.0, 0.99998, 60.0, 277.364, 6.03, 1623.0, 1623.0, 6.0, -0.99999, 60.0, 277.231, 5.82, 1610.0, 1610.0, -6.0, 0.99999, 60.0, 455.09, 0.232, 106.0, 4.7
1549002431.02, 277.349, 5.92, 1625.0, 1625.0, -7.0, 0.99999, 60.0, 277.453, 6.02, 1622.0, 1622.0, 6.0, -0.99999, 59.999, 277.206, 5.82, 1609.0, 1609.0, -7.0, 0.99999, 60.0, 454.97, 0.228, 104.0, 4.7
1549002431.5, 277.349, 5.92, 1625.0, 1625.0, -7.0, 0.99999, 60.0, 277.453, 6.02, 1622.0, 1622.0, 6.0, -0.99999, 59.999, 277.206, 5.82, 1609.0, 1609.0, -7.0, 0.99999, 60.0, 454.97, 0.228, 104.0, 4.7
1549002432.02, 277.338, 5.9, 1620.0, 1620.0, -10.0, 0.99998, 60.0, 277.422, 6.02, 1623.0, 1623.0, 4.0, -1.0, 60.001, 277.279, 5.82, 1609.0, 1609.0, -7.0, 0.99999, 60.0, 458.84, 0.233, 107.0, 4.7
1549002432.52, 277.338, 5.9, 1620.0, 1620.0, -10.0, 0.99998, 60.0, 277.422, 6.02, 1623.0, 1623.0, 4.0, -1.0, 60.001, 277.279, 5.82, 1609.0, 1609.0, -7.0, 0.99999, 60.0, 458.84, 0.233, 107.0, 4.7
1549002433.02, 277.348, 5.9, 1620.0, 1620.0, -11.0, 0.99998, 60.0, 277.35, 6.03, 1622.0, 1622.0, 4.0, -1.0, 60.0, 277.243, 5.81, 1607.0, 1607.0, -5.0, 0.99999, 60.0, 461.45, 0.235, 108.0, 4.7
1549002433.52, 277.348, 5.9, 1620.0, 1620.0, -11.0, 0.99998, 60.0, 277.35, 6.03, 1622.0, 1622.0, 4.0, -1.0, 60.0, 277.243, 5.81, 1607.0, 1607.0, -5.0, 0.99999, 60.0, 461.45, 0.235, 108.0, 4.7
1549002434.02, 277.391, 5.9, 1621.0, 1621.0, -5.0, 0.99999, 60.0, 277.461, 6.03, 1623.0, 1623.0, 6.0, -0.99999, 60.0, 277.194, 5.82, 1608.0, 1608.0, -9.0, 0.99998, 60.0, 457.72, 0.233, 107.0, 4.7
1549002434.53, 277.391, 5.9, 1621.0, 1621.0, -5.0, 0.99999, 60.0, 277.461, 6.03, 1623.0, 1623.0, 6.0, -0.99999, 60.0, 277.194, 5.82, 1608.0, 1608.0, -9.0, 0.99998, 60.0, 457.72, 0.233, 107.0, 4.7
1549002435.02, 241.409, 6.63, 1581.0, 1581.0, -21.0, 0.99991, 59.994, 241.55, 6.74, 1581.0, 1581.0, -8.0, 0.99999, 59.996, 241.359, 6.55, 1571.0, 1571.0, -22.0, 0.9999, 59.994, 454.99, 0.227, 103.0, 4.7
1549002435.52, 241.409, 6.63, 1581.0, 1581.0, -21.0, 0.99991, 59.994, 241.55, 6.74, 1581.0, 1581.0, -8.0, 0.99999, 59.996, 241.359, 6.55, 1571.0, 1571.0, -22.0, 0.9999, 59.994, 454.99, 0.227, 103.0, 4.7
1549002436.02, 241.34, 6.73, 1612.0, 1612.0, -4.0, 1.0, 60.001, 241.315, 6.84, 1614.0, 1614.0, 10.0, -0.99998, 59.999, 241.175, 6.65, 1602.0, 1602.0, -2.0, 1.0, 60.0, 455.09, 0.23, 105.0, 4.7
1549002436.52, 241.34, 6.73, 1612.0, 1612.0, -4.0, 1.0, 60.001, 241.315, 6.84, 1614.0, 1614.0, 10.0, -0.99998, 59.999, 241.175, 6.65, 1602.0, 1602.0, -2.0, 1.0, 60.0, 455.09, 0.23, 105.0, 4.7
1549002437.02, 241.283, 6.73, 1611.0, 1611.0, -4.0, 1.0, 60.001, 241.392, 6.84, 1615.0, 1615.0, 9.0, -0.99998, 60.0, 241.159, 6.65, 1600.0, 1600.0, -3.0, 1.0, 60.0, 455.06, 0.229, 104.0, 4.7
1549002437.52, 241.283, 6.73, 1611.0, 1611.0, -4.0, 1.0, 60.001, 241.392, 6.84, 1615.0, 1615.0, 9.0, -0.99998, 60.0, 241.159, 6.65, 1600.0, 1600.0, -3.0, 1.0, 60.0, 455.06, 0.229, 104.0, 4.7
1549002438.02, 241.325, 6.73, 1612.0, 1612.0, -1.0, 1.0, 60.001, 241.413, 6.84, 1615.0, 1615.0, 9.0, -0.99998, 60.001, 241.214, 6.65, 1600.0, 1600.0, -6.0, 0.99999, 60.001, 452.09, 0.229, 104.0, 4.7
