TIME, U1, U2, U3, I1, I2, I3
0.0, -392.332, -392.886, -392.0, -9.79, -7.54, -8.98
0.02, 392.684, 392.168, 392.877, 8.01, 10.12, 8.47
0.04, -392.4, -392.886, -392.136, -9.79, -7.54, -8.98
0.06, 392.888, 392.236, 392.741, 8.23, 10.57, 8.47
0.08, -392.264, -392.75, -392.136, -9.79, -7.54, -8.98
0.1, 392.752, 392.168, 392.877, 8.01, 10.34, 8.58
0.12, -392.332, -392.954, -392.0, -9.79, -7.54, -8.87
0.14, 392.752, 392.032, 392.877, 8.12, 10.34, 8.58
0.16, -392.264, -392.682, -392.0, -9.79, -7.54, -8.98
0.18, 392.888, 392.032, 392.741, 8.12, 10.34, 8.47
0.2, -392.604, -392.682, -392.136, -9.79, -7.65, -8.87
0.22, 392.82, 392.032, 392.673, 8.45, 10.34, 8.36
0.24, -392.332, -392.75, -392.0, -9.68, -7.54, -8.98
0.26, 392.888, 392.236, 392.741, 8.12, 10.34, 8.47
0.28, -392.196, -392.682, -392.068, -9.79, -7.54, -8.98
0.3, 392.888, 392.1, 392.809, 8.01, 10.34, 8.25
0.32, -392.604, -392.682, -392.0, -9.79, -7.43, -8.98
0.34, 392.888, 392.032, 392.741, 8.12, 10.57, 8.47
0.36, -392.264, -393.158, -392.068, -9.68, -7.32, -9.09
0.38, 392.752, 392.44, 392.877, 8.12, 10.34, 8.25
0.4, -392.468, -392.954, -392.068, -10.12, -7.21, -8.98
0.42, 392.956, 392.236, 392.741, 8.12, 10.57, 8.69
0.44, -392.264, -392.886, -391.932, -9.79, -7.54, -9.09
0.46, 392.956, 392.304, 392.741, 8.12, 10.34, 8.58
0.48, -392.468, -392.886, -392.0, -9.79, -7.43, -9.2
0.5, 392.888, 392.304, 392.809, 8.12, 10.34, 8.47
0.52, -392.264, -392.954, -392.068, -9.79, -7.54, -9.2
0.54, 392.888, 392.304, 392.741, 8.01, 10.23, 8.47
0.56, -392.196, -392.954, -392.0, -9.68, -7.43, -9.09
0.58, 392.82, 392.236, 392.809, 7.9, 10.34, 8.58
0.6, -392.196, -392.886, -392.068, -9.79, -7.43, -8.98
0.62, 392.684, 392.236, 392.809, 8.12, 10.23, 8.36
0.64, -392.06, -392.886, -392.0, -9.79, -7.43, -8.98
0.66, 392.82, 392.168, 392.809, 8.12, 10.34, 8.69
0.68, -392.196, -392.886, -392.136, -9.79, -7.43, -9.09
0.7, 392.752, 392.168, 392.945, 8.01, 10.23, 8.47
0.72, -392.196, -392.75, -391.932, -9.68, -7.32, -8.98
0.74, 392.752, 392.236, 392.741, 8.23, 10.34, 8.36
0.76, -392.196, -392.818, -392.068, -9.9, -7.54, -8.98
0.78, 392.752, 391.964, 392.877, 8.12, 10.23, 8.58
0.8, -392.06, -392.75, -392.068, -9.79, -7.54, -9.09
0.82, 392.616, 392.1, 392.673, 8.01, 10.34, 8.47
0.84, -392.264, -392.818, -392.068, -9.9, -7.54, -8.87
0.86, 392.752, 392.168, 392.809, 8.12, 10.23, 8.47
0.88, -392.06, -392.614, -392.068, -9.79, -7.54, -9.09
0.9, 392.752, 392.1, 392.877, 8.01, 10.34, 8.36
0.92, -392.196, -392.818, -392.068, -9.68, -7.54, -8.98
0.94, 392.956, 392.304, 392.809, 8.12, 10.34, 8.36
0.96, -391.992, -392.75, -392.0, -9.79, -7.54, -9.09
0.98, 392.752, 392.168, 392.741, 8.23, 10.57, 8.47
1.0, -392.06, -392.75, -392.0, -9.79, -7.54, -9.09
1.02, 392.684, 392.1, 392.741, 8.23, 10.34, 8.36
1.04, -392.196, -392.75, -391.932, -9.9, -7.54, -8.98
1.06, 392.684, 392.1, 392.741, 8.23, 10.34, 8.69
1.08, -392.06, -392.954, -392.0, -9.79, -7.43, -9.2
1.1, 392.752, 392.032, 392.741, 8.12, 10.34, 8.47
1.12, -392.196, -393.158, -392.136, -10.01, -7.54, -9.09
1.14, 392.548, 392.644, 392.809, 8.12, 10.46, 8.47
1.16, -392.06, -393.158, -392.0, -9.68, -7.54, -8.87
1.18, 392.752, 392.304, 392.741, 8.12, 10.46, 8.36
1.2, -392.264, -393.09, -392.0, -9.79, -7.65, -9.09
1.22, 392.752, 392.508, 392.741, 8.45, 10.46, 8.47
1.24, -392.06, -393.09, -392.0, -10.01, -7.43, -9.09
1.26, 392.548, 392.372, 392.741, 8.23, 10.34, 8.58
1.28, -392.264, -393.022, -391.932, -9.68, -7.54, -8.87
1.3, 392.752, 392.44, 392.741, 8.01, 10.46, 8.36
1.32, -392.196, -393.09, -392.068, -9.79, -7.54, -9.09
1.34, 392.684, 392.44, 392.673, 8.23, 10.46, 8.58
1.36, -392.128, -393.022, -392.0, -9.68, -7.43, -8.98
1.38, 392.752, 392.372, 392.809, 8.12, 10.34, 8.47
1.4, -392.128, -392.818, -392.0, -9.79, -7.43, -9.31
1.42, 392.82, 392.372, 392.741, 8.01, 10.23, 8.36
1.44, -392.128, -392.886, -391.932, -9.68, -7.54, -9.31
1.46, 392.82, 392.304, 392.673, 7.9, 10.34, 8.47
1.48, -392.06, -392.818, -392.068, -9.79, -7.77, -8.87
1.5, 392.752, 392.304, 392.673, 8.12, 10.57, 8.58
1.52, -392.06, -392.818, -391.932, -9.57, -7.32, -9.2
1.54, 392.616, 392.1, 392.741, 8.12, 10.12, 8.36
1.56, -392.128, -392.818, -392.0, -9.68, -7.43, -8.98
1.58, 392.752, 392.1, 392.673, 8.12, 10.23, 8.47
1.6, -392.196, -392.75, -392.0, -9.79, -7.43, -9.09
1.62, 392.82, 392.236, 392.605, 8.01, 10.23, 8.47
1.64, -392.196, -392.614, -392.0, -9.9, -7.54, -8.98
1.66, 392.616, 392.236, 392.673, 8.01, 10.34, 8.36
1.68, -392.128, -392.886, -392.068, -9.57, -7.54, -9.09
1.7, 392.82, 392.168, 392.673, 8.01, 10.46, 8.58
1.72, -392.06, -392.75, -391.932, -9.68, -7.43, -8.98
1.74, 392.82, 392.1, 392.673, 8.12, 10.46, 8.36
1.76, -392.264, -392.682, -391.864, -9.79, -7.43, -8.98
1.78, 392.752, 392.1, 392.741, 8.01, 10.23, 8.36
1.8, -392.06, -392.75, -392.0, -9.68, -7.65, -9.2
1.82, 392.684, 392.032, 392.673, 8.23, 10.34, 8.58
1.84, -392.196, -393.022, -391.932, -9.68, -7.65, -9.09
1.86, 392.888, 392.304, 392.741, 8.01, 10.34, 8.58
1.88, -392.128, -393.09, -392.068, -9.68, -7.54, -8.87
1.9, 392.888, 392.44, 392.673, 8.12, 10.34, 8.58
1.92, -392.06, -393.09, -391.864, -9.68, -7.43, -9.09
1.94, 392.82, 392.372, 392.741, 8.12, 10.46, 8.47
1.96, -392.264, -393.022, -391.932, -9.79, -7.32, -9.2
1.98, 392.888, 392.576, 392.741, 8.01, 10.12, 8.47
2.0, -392.196, -393.09, -391.932, -9.79, -7.54, -9.09
2.02, 392.956, 392.372, 392.741, 8.12, 10.34, 8.36
2.04, -392.128, -393.09, -392.0, -9.68, -7.54, -9.09
2.06, 392.752, 392.372, 392.673, 8.01, 10.34, 8.47
2.08, -392.264, -393.158, -392.068, -9.79, -7.54, -8.98
2.1, 393.024, 392.44, 392.741, 8.12, 10.46, 8.47
2.12, -392.196, -392.954, -392.136, -9.57, -7.54, -8.98
2.14, 392.888, 392.372, 392.741, 8.34, 10.46, 8.36
2.16, -392.264, -393.022, -392.068, -9.68, -7.54, -9.09
2.18, 392.752, 392.304, 392.605, 7.9, 10.46, 8.36
2.2, -392.4, -392.954, -391.932, -9.9, -7.54, -9.2
2.22, 392.82, 392.304, 392.673, 8.01, 10.34, 8.58
2.24, -392.264, -392.954, -391.932, -9.79, -7.65, -9.09
2.26, 392.82, 392.372, 392.673, 8.12, 10.34, 8.36
2.28, -392.264, -392.886, -391.864, -9.79, -7.65, -8.98
2.3, 392.956, 392.304, 392.809, 8.01, 10.34, 8.58
2.32, -392.264, -392.954, -391.932, -9.79, -7.54, -9.09
2.34, 392.956, 392.236, 392.673, 8.12, 10.46, 8.36
2.36, -392.264, -392.818, -392.0, -9.79, -7.54, -8.98
2.38, 392.888, 392.236, 392.605, 8.23, 10.34, 8.47
2.4, -392.196, -392.954, -392.0, -9.79, -7.77, -9.09
2.42, 392.888, 392.032, 392.673, 7.9, 10.23, 8.47
2.44, -392.196, -392.954, -392.0, -9.68, -7.65, -8.98
2.46, 392.956, 392.304, 392.605, 8.23, 10.23, 8.47
2.48, -392.468, -392.954, -391.932, -9.68, -7.54, -9.2
2.5, 392.82, 392.168, 392.673, 8.12, 10.46, 8.58
2.52, -392.332, -392.818, -391.932, -9.9, -7.54, -8.98
2.54, 392.82, 392.168, 392.537, 8.12, 10.34, 8.58
2.56, -392.264, -393.022, -391.932, -9.9, -7.54, -9.2
2.58, 392.82, 392.1, 392.741, 8.23, 10.46, 8.58
2.6, -392.332, -393.226, -391.932, -9.68, -7.65, -9.2
2.62, 392.888, 392.44, 392.605, 8.12, 10.34, 8.47
2.64, -392.06, -393.022, -391.932, -9.9, -7.43, -9.09
2.66, 392.752, 392.44, 392.605, 8.01, 10.46, 8.47
2.68, -392.128, -393.158, -392.068, -9.79, -7.65, -9.09
2.7, 392.82, 392.508, 392.605, 8.34, 10.34, 8.58
2.72, -392.128, -393.226, -391.932, -9.68, -7.65, -9.2
2.74, 392.82, 392.44, 392.537, 8.12, 10.34, 8.47
2.76, -392.06, -393.09, -391.932, -9.79, -7.43, -9.09
2.78, 392.888, 392.508, 392.605, 8.23, 10.34, 8.36
2.8, -392.06, -393.158, -392.068, -9.79, -7.54, -8.98
2.82, 392.82, 392.372, 392.673, 8.23, 10.46, 8.58
2.84, -392.128, -393.226, -392.0, -9.68, -7.54, -9.09
2.86, 392.684, 392.372, 392.605, 8.23, 10.23, 8.47
2.88, -392.128, -392.954, -391.864, -9.79, -7.54, -8.98
2.9, 392.82, 392.372, 392.605, 8.01, 10.57, 8.47
2.92, -392.128, -393.022, -392.0, -9.79, -7.65, -9.09
2.94, 392.752, 392.236, 392.605, 8.23, 10.46, 8.58
2.96, -392.196, -393.022, -392.136, -9.68, -7.54, -9.09
2.98, 392.82, 392.236, 392.605, 8.23, 10.23, 8.36
3.0, -392.196, -393.022, -392.0, -10.01, -7.54, -8.98
3.02, 392.684, 392.236, 392.605, 8.23, 10.23, 8.36
3.04, -392.128, -392.886, -392.0, -9.68, -7.43, -9.09
3.06, 392.888, 392.372, 392.537, 7.9, 10.68, 8.36
3.08, -392.196, -392.818, -391.864, -9.79, -7.54, -9.09
3.1, 392.82, 392.304, 392.605, 8.12, 10.34, 8.47
3.12, -392.264, -393.09, -391.864, -9.68, -7.65, -9.09
3.14, 392.82, 392.236, 392.537, 8.23, 10.34, 8.47
3.16, -392.128, -392.954, -392.068, -9.9, -7.43, -9.09
3.18, 392.82, 392.236, 392.673, 8.12, 10.46, 8.58
3.2, -392.196, -392.75, -392.0, -9.9, -7.43, -9.09
3.22, 392.752, 392.168, 392.673, 8.12, 10.34, 8.58
3.24, -392.128, -392.886, -392.068, -9.57, -7.43, -9.2
3.26, 392.82, 392.168, 392.605, 8.12, 10.34, 8.36
3.28, -392.196, -392.75, -392.068, -9.79, -7.32, -9.09
3.3, 392.752, 392.1, 392.673, 8.01, 10.23, 8.36
3.32, -392.264, -392.818, -392.068, -9.9, -7.43, -8.87
3.34, 392.888, 392.304, 392.741, 8.12, 10.34, 8.58
3.36, -392.128, -393.09, -392.068, -9.68, -7.43, -9.09
3.38, 392.752, 392.372, 392.673, 8.01, 10.34, 8.47
3.4, -392.264, -393.09, -392.136, -9.79, -7.43, -8.98
3.42, 392.888, 392.44, 392.605, 8.12, 10.34, 8.8
3.44, -392.128, -393.158, -392.068, -9.79, -7.54, -8.98
3.46, 392.82, 392.372, 392.605, 8.23, 10.23, 8.47
3.48, -392.196, -393.09, -392.204, -9.68, -7.43, -8.87
3.5, 392.82, 392.44, 392.605, 8.12, 10.34, 8.47
3.52, -392.332, -393.09, -392.068, -9.79, -7.65, -8.98
3.54, 392.752, 392.236, 392.741, 8.12, 10.34, 8.36
3.56, -392.196, -393.022, -392.068, -9.68, -7.21, -8.98
3.58, 392.888, 392.236, 392.673, 8.01, 10.34, 8.47
3.6, -392.196, -393.022, -392.0, -9.68, -7.43, -8.98
3.62, 392.888, 392.372, 392.673, 7.9, 10.34, 8.47
3.64, -392.332, -392.886, -392.0, -9.68, -7.43, -8.87
3.66, 392.82, 392.304, 392.673, 8.01, 10.34, 8.47
3.68, -392.332, -393.022, -392.068, -9.79, -7.32, -9.09
3.7, 392.752, 392.168, 392.741, 7.9, 10.23, 8.47
3.72, -392.332, -392.886, -392.068, -9.79, -7.43, -9.09
3.74, 392.956, 392.168, 392.809, 8.34, 10.34, 8.58
3.76, -392.4, -392.75, -392.068, -9.9, -7.43, -9.09
3.78, 392.888, 392.168, 392.741, 8.12, 10.23, 8.47
3.8, -392.332, -392.886, -392.0, -9.9, -7.54, -9.09
3.82, 392.888, 392.168, 392.741, 8.23, 10.46, 8.47
3.84, -392.4, -392.818, -392.0, -9.68, -7.54, -8.98
3.86, 392.888, 392.1, 392.605, 7.9, 10.46, 8.36
3.88, -392.264, -392.75, -392.136, -9.79, -7.54, -9.09
3.9, 392.956, 392.168, 392.673, 8.23, 10.34, 8.47
3.92, -392.196, -392.682, -392.068, -9.79, -7.54, -8.98
3.94, 392.752, 392.236, 392.605, 8.01, 10.34, 8.58
3.96, -392.332, -392.75, -392.136, -9.46, -7.54, -8.98
3.98, 392.888, 392.1, 392.673, 8.01, 10.34, 8.58
4.0, -392.332, -392.614, -392.0, -9.9, -7.54, -8.98
4.02, 392.888, 392.1, 392.673, 8.23, 10.34, 8.47
4.04, -392.196, -392.75, -392.0, -9.68, -7.43, -9.09
4.06, 392.956, 392.032, 392.673, 8.01, 10.23, 8.47
4.08, -392.196, -392.75, -392.068, -9.9, -7.77, -9.2
4.1, 392.82, 392.372, 392.605, 8.12, 10.46, 8.58
4.12, -392.4, -393.294, -391.932, -9.79, -7.43, -8.87
4.14, 392.82, 392.44, 392.741, 8.01, 10.34, 8.58
4.16, -392.264, -393.158, -391.932, -9.57, -7.54, -9.09
4.18, 392.956, 392.372, 392.605, 8.23, 10.34, 8.47
4.2, -392.332, -392.954, -391.932, -9.79, -7.65, -8.98
4.22, 393.024, 392.372, 392.741, 8.34, 10.34, 8.58
4.24, -392.264, -393.09, -392.0, -9.68, -7.54, -8.87
4.26, 392.888, 392.304, 392.809, 8.12, 10.34, 8.58
4.28, -392.196, -393.022, -391.932, -9.68, -7.65, -9.09
4.3, 392.956, 392.304, 392.605, 8.12, 10.34, 8.36
4.32, -392.468, -392.886, -392.0, -9.68, -7.32, -8.98
4.34, 392.956, 392.304, 392.673, 8.01, 10.46, 8.47
4.36, -392.468, -392.954, -391.932, -9.9, -7.43, -8.98
4.38, 392.956, 392.236, 392.605, 8.12, 10.34, 8.47
4.4, -392.468, -392.954, -392.0, -9.79, -7.43, -9.2
4.42, 392.752, 392.236, 392.605, 7.79, 10.23, 8.47
4.44, -392.468, -392.818, -391.932, -9.68, -7.54, -9.09
4.46, 392.956, 392.1, 392.809, 8.12, 10.34, 8.69
4.48, -392.264, -392.886, -391.932, -9.68, -7.43, -9.2
4.5, 393.024, 392.236, 392.605, 8.23, 10.79, 8.47
4.52, -392.332, -392.886, -392.0, -10.12, -7.43, -9.2
4.54, 392.888, 392.304, 392.673, 8.12, 10.34, 8.47
4.56, -392.196, -392.886, -391.864, -9.79, -7.54, -9.09
4.58, 393.024, 392.1, 392.605, 8.12, 10.34, 8.47
4.6, -392.4, -392.886, -392.068, -9.9, -7.54, -9.09
4.62, 392.752, 392.168, 392.537, 8.34, 10.34, 8.47
4.64, -392.264, -392.818, -392.0, -9.9, -7.43, -8.98
4.66, 393.092, 392.1, 392.605, 8.12, 10.57, 8.47
4.68, -392.332, -392.75, -392.0, -9.68, -7.54, -9.09
4.7, 392.752, 392.168, 392.673, 8.01, 10.46, 8.58
4.72, -392.06, -392.75, -391.864, -9.79, -7.43, -8.87
4.74, 392.616, 392.1, 392.537, 8.23, 10.46, 8.69
4.76, -392.06, -392.818, -391.864, -9.68, -7.54, -9.2
4.78, 392.616, 392.032, 392.605, 8.01, 10.34, 8.58
4.8, -392.06, -392.682, -391.864, -9.57, -7.54, -8.87
4.82, 392.684, 392.032, 392.673, 8.12, 10.34, 8.58
4.84, -392.06, -393.09, -391.864, -9.68, -7.54, -8.98
4.86, 392.82, 392.304, 392.605, 8.23, 10.23, 8.58
4.88, -391.992, -393.158, -391.864, -9.79, -7.54, -9.2
4.9, 392.684, 392.304, 392.537, 8.12, 10.23, 8.47
4.92, -392.196, -393.158, -391.796, -9.68, -7.43, -8.98
4.94, 392.616, 392.372, 392.605, 8.01, 10.34, 8.58
4.96, -392.264, -392.886, -391.932, -9.68, -7.54, -9.2
4.98, 392.616, 392.372, 392.537, 8.12, 10.34, 8.36
5.0, -392.196, -392.954, -391.864, -9.68, -7.43, -9.2
5.02, 392.684, 392.44, 392.673, 8.12, 10.46, 8.47
5.04, -392.128, -392.954, -391.796, -9.79, -7.65, -9.09
5.06, 392.82, 392.168, 392.605, 8.01, 10.34, 8.47
5.08, -392.128, -393.09, -391.864, -9.57, -7.43, -8.98
5.1, 392.752, 392.168, 392.537, 8.23, 10.23, 8.58
5.12, -392.196, -392.886, -391.864, -9.79, -7.43, -9.09
5.14, 392.616, 392.236, 392.605, 8.12, 10.34, 8.58
5.16, -392.264, -393.022, -391.728, -9.68, -7.65, -8.98
5.18, 392.684, 392.236, 392.537, 8.45, 10.23, 8.47
