TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, AC_IRMS_MIN
1549003029.28, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 
1549003029.86, 277.371, 5.92, 1621.0, 1621.0, -9.0, 0.99998, 60.0, 277.29, 6.02, 1618.0, 1618.0, 6.0, -0.99999, 60.0, 277.257, 5.83, 1611.0, 1611.0, -5.0, 0.99999, 60.001, 454.78, 0.238, 108.0, 
1549003030.44, 277.354, 5.92, 1620.0, 1620.0, -7.0, 0.99999, 60.0, 277.443, 6.03, 1621.0, 1621.0, 5.0, -1.0, 60.001, 277.24, 5.82, 1609.0, 1609.0, -6.0, 0.99999, 60.001, 454.7, 0.235, 107.0, 
1549003030.93, 277.354, 5.92, 1620.0, 1620.0, -7.0, 0.99999, 60.0, 277.443, 6.03, 1621.0, 1621.0, 5.0, -1.0, 60.001, 277.24, 5.82, 1609.0, 1609.0, -6.0, 0.99999, 60.001, 454.7, 0.235, 107.0, 
1549003031.44, 277.385, 5.9, 1617.0, 1617.0, -9.0, 0.99998, 60.0, 277.404, 6.01, 1619.0, 1619.0, 8.0, -0.99999, 60.0, 277.201, 5.82, 1607.0, 1607.0, -6.0, 0.99999, 60.0, 460.86, 0.235, 109.0, 
1549003031.94, 277.385, 5.9, 1617.0, 1617.0, -9.0, 0.99998, 60.0, 277.404, 6.01, 1619.0, 1619.0, 8.0, -0.99999, 60.0, 277.201, 5.82, 1607.0, 1607.0, -6.0, 0.99999, 60.0, 460.86, 0.235, 109.0, 
1549003032.44, 277.396, 5.92, 1621.0, 1621.0, -6.0, 0.99999, 60.0, 277.314, 6.01, 1618.0, 1618.0, 1.0, -1.0, 60.0, 277.282, 5.83, 1612.0, 1612.0, -7.0, 0.99999, 60.0, 461.2, 0.238, 110.0, 
1549003032.94, 277.396, 5.92, 1621.0, 1621.0, -6.0, 0.99999, 60.0, 277.314, 6.01, 1618.0, 1618.0, 1.0, -1.0, 60.0, 277.282, 5.83, 1612.0, 1612.0, -7.0, 0.99999, 60.0, 461.2, 0.238, 110.0, 
1549003033.44, 277.379, 5.93, 1622.0, 1622.0, -4.0, 1.0, 60.0, 277.517, 6.02, 1622.0, 1622.0, 2.0, -1.0, 60.001, 277.26, 5.84, 1612.0, 1612.0, -11.0, 0.99998, 60.001, 455.18, 0.234, 106.0, 
1549003033.94, 277.379, 5.93, 1622.0, 1622.0, -4.0, 1.0, 60.0, 277.517, 6.02, 1622.0, 1622.0, 2.0, -1.0, 60.001, 277.26, 5.84, 1612.0, 1612.0, -11.0, 0.99998, 60.001, 455.18, 0.234, 106.0, 
