TIME, U1, U2, U3, I1, I2, I3
0.0, -392.06, -393.022, -391.932, -9.79, -7.43, -9.2
0.02, 392.752, 392.304, 392.537, 8.01, 10.57, 8.47
0.04, -392.196, -393.022, -392.068, -9.79, -7.43, -9.31
0.06, 392.956, 392.304, 392.741, 8.45, 10.46, 8.58
0.08, -392.196, -393.226, -392.0, -9.79, -7.43, -9.09
0.1, 392.684, 392.44, 392.673, 8.01, 10.46, 8.58
0.12, -392.06, -392.818, -392.0, -9.68, -7.32, -9.2
0.14, 392.752, 392.372, 392.741, 8.01, 10.46, 8.47
0.16, -392.196, -393.022, -392.0, -9.57, -7.54, -8.98
0.18, 392.752, 392.304, 392.673, 8.12, 10.46, 8.47
0.2, -392.06, -393.294, -392.0, -9.79, -7.54, -9.53
0.22, 392.956, 392.168, 392.673, 8.01, 10.34, 8.47
0.24, -392.196, -392.75, -392.068, -9.68, -7.43, -9.2
0.26, 392.82, 392.236, 392.673, 8.12, 10.46, 8.36
0.28, -392.264, -392.818, -392.0, -9.68, -7.54, -9.2
0.3, 392.82, 392.032, 392.673, 8.01, 10.57, 8.36
0.32, -392.128, -392.954, -392.068, -10.01, -7.54, -9.09
0.34, 392.888, 392.1, 392.673, 8.12, 10.57, 8.58
0.36, -392.196, -392.818, -391.932, -9.57, -7.65, -9.2
0.38, 392.82, 392.236, 392.605, 8.12, 10.68, 8.47
0.4, -392.06, -392.886, -392.136, -9.9, -7.43, -9.09
0.42, 392.82, 392.1, 392.673, 8.12, 10.57, 8.47
0.44, -392.264, -392.818, -392.068, -9.57, -7.54, -9.31
0.46, 392.82, 392.168, 392.673, 8.12, 10.34, 8.36
0.48, -392.332, -393.09, -392.0, -9.9, -7.43, -8.98
0.5, 392.82, 392.168, 392.605, 7.9, 10.34, 8.25
0.52, -392.196, -393.158, -392.0, -9.68, -7.54, -9.2
0.54, 392.956, 392.44, 392.673, 8.34, 10.46, 8.47
0.56, -392.332, -393.362, -392.0, -9.68, -7.54, -9.2
0.58, 392.752, 392.372, 392.673, 8.01, 10.57, 8.47
