Result, Test Name, Power Level (%), Iteration, PF Actual 1, PF Actual 2, PF Actual 3,PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File,Power 1 (pu), Power 2 (pu), Power 3 (pu),Reactive Power 1 (pu), Reactive Power 2 (pu), Reactive Power 3 (pu), P Target at Rated (pu), Q Target at Rated (pu) 
Pass, sa12_0, 100, 1, 0.99998, -1.0, 0.99998, 1.0, 0.02, -0.98, 0.98, spf_1000_800.0_100_1.csv, 0.967587034814, 0.969387755102, 0.96518607443, -0.00660264105642, 0.00120048019208, -0.00660264105642,1.0, 0.0
Pass, sa12_0, 100, 1, 0.80177, 0.80306, 0.79709, 0.8, 0.02, 0.78, 0.82, spf_800.0_100_1.csv, 0.964585834334, 0.96518607443, 0.955582232893, -0.719087635054, -0.716086434574, -0.723889555822,0.8, -0.6
Pass, sa12_0, 100, 2, 0.9995, 0.99977, 0.99948, 1.0, 0.02, -0.98, 0.98, spf_1000_800.0_100_2.csv, 0.970588235294, 0.975390156062, 0.96818727491, -0.030612244898, -0.0210084033613, -0.031212484994,1.0, 0.0
Pass, sa12_0, 100, 2, 0.80114, 0.80391, 0.79903, 0.8, 0.02, 0.78, 0.82, spf_800.0_100_2.csv, 0.967587034814, 0.969387755102, 0.960384153661, -0.72268907563, -0.717286914766, -0.72268907563,0.8, -0.6
Pass, sa12_0, 100, 3, 0.99997, -1.0, 0.99999, 1.0, 0.02, -0.98, 0.98, spf_1000_800.0_100_3.csv, 0.969987995198, 0.977190876351, 0.968787515006, -0.00720288115246, 0.00240096038415, -0.00480192076831,1.0, 0.0
Pass, sa12_0, 100, 3, 0.80122, 0.80475, 0.7988, 0.8, 0.02, 0.78, 0.82, spf_800.0_100_3.csv, 0.968787515006, 0.972989195678, 0.958583433373, -0.723289315726, -0.717887154862, -0.721488595438,0.8, -0.6
Pass, sa12_0, 100, 1, 0.99996, -1.0, 1.0, 1.0, 0.02, -0.98, 0.98, spf_1000_-800.0_100_1.csv, 0.970588235294, 0.975990396158, 0.96818727491, -0.00900360144058, 0.00180072028812, -0.00300120048019,1.0, 0.0
Pass, sa12_0, 100, 1, -0.80192, -0.80036, -0.80006, -0.8, 0.02, -0.82, -0.78, spf_-800.0_100_1.csv, 0.97118847539, 0.975390156062, 0.968787515006, 0.723289315726, 0.730492196879, 0.726290516206,0.8, 0.6
Pass, sa12_0, 100, 2, 0.99998, -1.0, 1.0, 1.0, 0.02, -0.98, 0.98, spf_1000_-800.0_100_2.csv, 0.972989195678, 0.975990396158, 0.964585834334, -0.00540216086435, 0.00240096038415, -0.00240096038415,1.0, 0.0
Pass, sa12_0, 100, 2, -0.80299, -0.79851, -0.79968, -0.8, 0.02, -0.82, -0.78, spf_-800.0_100_2.csv, 0.971788715486, 0.973589435774, 0.966986794718, 0.721488595438, 0.734093637455, 0.726290516206,0.8, 0.6
Pass, sa12_0, 100, 3, 0.99999, -1.0, 0.99999, 1.0, 0.02, -0.98, 0.98, spf_1000_-800.0_100_3.csv, 0.971788715486, 0.973589435774, 0.967587034814, -0.00540216086435, 0.000600240096038, -0.00480192076831,1.0, 0.0
Pass, sa12_0, 100, 3, -0.8032, -0.80022, -0.80205, -0.8, 0.02, -0.82, -0.78, spf_-800.0_100_3.csv, 0.968787515006, 0.970588235294, 0.966986794718, 0.718487394958, 0.727490996399, 0.720288115246,0.8, 0.6
